air_date,year,decade,pop_count_1,pop_count_2,pop_count_1,pop_count_2,pop1_normalized,pop2_normalized,pop1_round,pop2_round
11/18/1999,1999,1990,1,3,1,3,1.5,4.5,2,5
3/22/1999,1999,1990,3,3,3,3,3,3.6,3,4
1/7/1985,1985,1980,1,2,1,2,1.5,4,2,4
6/1/2006,2006,2000,2,4,2,4,1.5,4,2,4
11/19/2009,2009,2000,2,3,2,3,1.714285714,3.6,2,4
11/25/1997,1997,1990,1,3,1,3,1.2,3.6,1,4
12/15/2017,2017,2010,1,3,1,3,1.2,3.6,1,4
6/30/2008,2008,2000,1,3,1,3,0.857142857,3.6,1,4
10/24/2017,2017,2010,1,3,1,3,0.857142857,3.6,1,4
12/12/1985,1985,1980,0,3,0,3,0,3.6,0,4
6/12/2009,2009,2000,3,4,3,4,2.571428571,3.428571429,3,3
4/5/1999,1999,1990,5,4,5,4,3.333333333,3,3,3
1/15/1998,1998,1990,2,2,2,2,3,3,3,3
3/2/1998,1998,1990,2,3,2,3,3,3,3,3
6/26/1998,1998,1990,3,3,3,3,3,3,3,3
10/20/1998,1998,1990,4,3,4,3,3,3,3,3
4/29/1998,1998,1990,3,3,3,3,2.571428571,3,3,3
6/10/1998,1998,1990,3,3,3,3,2.571428571,3,3,3
2/17/2010,2010,2010,3,1,3,1,2.571428571,3,3,3
11/7/1986,1986,1980,3,3,3,3,3,2.571428571,3,3
5/18/1999,1999,1990,4,3,4,3,3,2.571428571,3,3
2/26/2001,2001,2000,2,3,2,3,3,2.571428571,3,3
5/21/2009,2009,2000,3,3,3,3,3,2.571428571,3,3
7/21/2021,2021,2020,3,3,3,3,3,2.571428571,3,3
12/5/2017,2017,2010,3,3,3,3,2.571428571,2.571428571,3,3
2/12/1987,1987,1980,2,4,2,4,2,3.428571429,2,3
5/21/2001,2001,2000,2,4,2,4,2,3.428571429,2,3
3/5/1987,1987,1980,2,5,2,5,2,3.333333333,2,3
1/23/1998,1998,1990,2,4,2,4,2.4,3,2,3
5/28/1998,1998,1990,3,4,3,4,2.25,3,2,3
6/21/1999,1999,1990,3,3,3,3,2.25,3,2,3
9/25/2000,2000,2000,3,3,3,3,2.25,3,2,3
12/19/1985,1985,1980,2,2,2,2,2,3,2,3
5/11/1998,1998,1990,2,2,2,2,2,3,2,3
1/6/2000,2000,2000,1,3,1,3,2,3,2,3
2/3/2004,2004,2000,2,3,2,3,2,3,2,3
3/23/2006,2006,2000,3,3,3,3,2,3,2,3
3/21/2013,2013,2010,2,3,2,3,2,3,2,3
12/19/2006,2006,2000,2,3,2,3,1.714285714,3,2,3
9/28/2011,2011,2010,2,3,2,3,1.714285714,3,2,3
10/23/2012,2012,2010,2,4,2,4,1.714285714,3,2,3
6/18/2014,2014,2010,2,3,2,3,1.714285714,3,2,3
5/12/2015,2015,2010,2,3,2,3,1.714285714,3,2,3
2/7/2018,2018,2010,2,3,2,3,1.714285714,3,2,3
6/28/1999,1999,1990,1,3,1,3,1.5,3,2,3
2/6/2001,2001,2000,1,2,1,2,1.5,3,2,3
4/4/2023,2023,2020,1,4,1,4,1.5,3,2,3
1/4/2019,2019,2010,2,4,2,4,2,2.666666667,2,3
4/12/2022,2022,2020,2,4,2,4,1.714285714,2.666666667,2,3
1/13/1986,1986,1980,2,3,2,3,2.4,2.571428571,2,3
9/20/2010,2010,2010,2,3,2,3,2.4,2.571428571,2,3
12/23/2016,2016,2010,2,3,2,3,2.4,2.571428571,2,3
12/6/2006,2006,2000,3,3,3,3,2.25,2.571428571,2,3
10/1/2012,2012,2010,3,3,3,3,2.25,2.571428571,2,3
10/31/2022,2022,2020,3,3,3,3,2.25,2.571428571,2,3
7/11/2023,2023,2020,3,3,3,3,2.25,2.571428571,2,3
10/16/2000,2000,2000,2,3,2,3,2,2.571428571,2,3
11/20/2006,2006,2000,2,3,2,3,2,2.571428571,2,3
3/18/2014,2014,2010,2,3,2,3,2,2.571428571,2,3
1/6/2016,2016,2010,2,3,2,3,2,2.571428571,2,3
3/15/2018,2018,2010,2,3,2,3,2,2.571428571,2,3
12/10/2018,2018,2010,3,3,3,3,2,2.571428571,2,3
3/23/2020,2020,2020,2,3,2,3,2,2.571428571,2,3
9/23/2020,2020,2020,2,3,2,3,2,2.571428571,2,3
11/24/2023,2023,2020,2,3,2,3,2,2.571428571,2,3
10/10/2011,2011,2010,3,3,3,3,1.8,2.571428571,2,3
5/18/1998,1998,1990,2,3,2,3,1.714285714,2.571428571,2,3
6/9/1998,1998,1990,2,3,2,3,1.714285714,2.571428571,2,3
9/30/2005,2005,2000,2,3,2,3,1.714285714,2.571428571,2,3
3/18/2011,2011,2010,2,3,2,3,1.714285714,2.571428571,2,3
1/9/2013,2013,2010,2,3,2,3,1.714285714,2.571428571,2,3
10/20/2020,2020,2020,2,3,2,3,1.714285714,2.571428571,2,3
2/4/2022,2022,2020,2,3,2,3,1.714285714,2.571428571,2,3
6/26/1987,1987,1980,2,3,2,3,1.5,2.571428571,2,3
3/24/1998,1998,1990,2,3,2,3,1.5,2.571428571,2,3
1/27/2000,2000,2000,1,3,1,3,1.5,2.571428571,2,3
12/29/2004,2004,2000,1,3,1,3,1.5,2.571428571,2,3
2/1/2017,2017,2010,1,3,1,3,1.5,2.571428571,2,3
5/7/2025,2025,2020,2,3,2,3,1.5,2.571428571,2,3
12/13/1988,1988,1980,2,4,2,4,1.333333333,3.428571429,1,3
3/19/2001,2001,2000,1,5,1,5,0.857142857,3.333333333,1,3
1/31/1985,1985,1980,1,3,1,3,1.2,3,1,3
12/23/1986,1986,1980,1,3,1,3,1.2,3,1,3
9/19/1997,1997,1990,1,3,1,3,1.2,3,1,3
11/3/1998,1998,1990,1,2,1,2,1.2,3,1,3
4/9/1999,1999,1990,1,3,1,3,1.2,3,1,3
5/14/2001,2001,2000,1,3,1,3,1.2,3,1,3
5/30/2013,2013,2010,1,3,1,3,1.2,3,1,3
1/12/2016,2016,2010,1,3,1,3,1.2,3,1,3
12/24/2019,2019,2010,1,4,1,4,1.2,3,1,3
5/26/2025,2025,2020,1,3,1,3,1.2,3,1,3
1/19/1987,1987,1980,1,3,1,3,1,3,1,3
1/21/1987,1987,1980,1,4,1,4,1,3,1,3
1/8/1999,1999,1990,1,4,1,4,1,3,1,3
9/27/1999,1999,1990,1,3,1,3,1,3,1,3
11/17/2000,2000,2000,1,4,1,4,1,3,1,3
12/28/2005,2005,2000,1,3,1,3,1,3,1,3
10/3/2006,2006,2000,1,3,1,3,1,3,1,3
5/27/2010,2010,2010,1,3,1,3,1,3,1,3
6/6/2016,2016,2010,1,2,1,2,1,3,1,3
11/29/1996,1996,1990,1,3,1,3,0.857142857,3,1,3
12/4/1998,1998,1990,1,3,1,3,0.857142857,3,1,3
10/21/1999,1999,1990,1,4,1,4,0.857142857,3,1,3
3/30/2001,2001,2000,1,3,1,3,0.857142857,3,1,3
10/22/1986,1986,1980,1,2,1,2,0.75,3,1,3
5/1/1987,1987,1980,1,3,1,3,0.75,3,1,3
4/19/2001,2001,2000,1,5,1,5,0.75,3,1,3
11/13/2001,2001,2000,1,3,1,3,0.75,3,1,3
4/1/2004,2004,2000,1,3,1,3,0.75,3,1,3
6/14/2007,2007,2000,1,3,1,3,0.75,3,1,3
3/18/2021,2021,2020,1,3,1,3,0.75,3,1,3
4/28/2000,2000,2000,1,3,1,3,0.666666667,3,1,3
11/14/2006,2006,2000,2,4,2,4,1.333333333,2.666666667,1,3
5/19/1998,1998,1990,1,4,1,4,1.2,2.666666667,1,3
12/9/1998,1998,1990,1,4,1,4,1.2,2.666666667,1,3
1/5/2000,2000,2000,1,4,1,4,1.2,2.666666667,1,3
